text,sentiment
"NIFTY 5022,513.70-0.0042%-0.95",positive
,neutral
,neutral
,neutral
,neutral
"NIFTY 5022,513.70",positive
NIFTY 50,positive
"22,513.70",neutral
"22,513.70",neutral
"22,513.70",neutral
"22,513.70",neutral
-0.0042%-0.95,neutral
-0.0042%,neutral
-0.0042%,neutral
-0.0042%,neutral
-0.95,neutral
-0.95,neutral
-0.95,neutral
"NIFTY 5022,513.700.0042%",positive
"NIFTY 5022,513.700.0042%",positive
NIFTY 50,positive
"22,513.70",neutral
"22,513.70",neutral
"22,513.70",neutral
"22,513.70",neutral
0.0042%,neutral
0.0042%,neutral
0.0042%,neutral
,neutral
"SENSEX74,248.22+0.028%+20.59SENSEX74,248.220.028%",neutral
"SENSEX74,248.22+0.028%+20.59",neutral
,neutral
,neutral
,neutral
,neutral
"SENSEX74,248.22",neutral
SENSEX,neutral
"74,248.22",neutral
"74,248.22",neutral
"74,248.22",neutral
"74,248.22",neutral
+0.028%+20.59,neutral
+0.028%,neutral
+0.028%,neutral
+0.028%,neutral
+20.59,neutral
+20.59,neutral
+20.59,neutral
"SENSEX74,248.220.028%",neutral
"SENSEX74,248.220.028%",neutral
SENSEX,neutral
"74,248.22",neutral
"74,248.22",neutral
"74,248.22",neutral
"74,248.22",neutral
0.028%,neutral
0.028%,neutral
0.028%,neutral
,neutral
"Nifty Bank48,493.05+0.90%+432.25Nifty Bank48,493.050.90%",positive
"Nifty Bank48,493.05+0.90%+432.25",positive
,neutral
,neutral
,neutral
,neutral
"Nifty Bank48,493.05",positive
Nifty Bank,positive
"48,493.05",neutral
"48,493.05",neutral
"48,493.05",neutral
"48,493.05",neutral
+0.90%+432.25,neutral
+0.90%,neutral
+0.90%,neutral
+0.90%,neutral
+432.25,neutral
+432.25,neutral
+432.25,neutral
"Nifty Bank48,493.050.90%",positive
"Nifty Bank48,493.050.90%",positive
Nifty Bank,positive
"48,493.05",neutral
"48,493.05",neutral
"48,493.05",neutral
"48,493.05",neutral
0.90%,neutral
0.90%,neutral
0.90%,neutral
,neutral
"Nifty IT35,247.90-0.50%-178.80Nifty IT35,247.900.50%",positive
"Nifty IT35,247.90-0.50%-178.80",positive
,neutral
,neutral
,neutral
,neutral
"Nifty IT35,247.90",positive
Nifty IT,positive
"35,247.90",neutral
"35,247.90",neutral
"35,247.90",neutral
"35,247.90",neutral
-0.50%-178.80,neutral
-0.50%,neutral
-0.50%,neutral
-0.50%,neutral
-178.80,neutral
-178.80,neutral
-178.80,neutral
"Nifty IT35,247.900.50%",positive
"Nifty IT35,247.900.50%",positive
Nifty IT,positive
"35,247.90",neutral
"35,247.90",neutral
"35,247.90",neutral
"35,247.90",neutral
0.50%,neutral
0.50%,neutral
0.50%,neutral
,neutral
"S&P BSE SmallCap46,032.71+0.50%+228.74S&P BSE SmallCap46,032.710.50%",neutral
"S&P BSE SmallCap46,032.71+0.50%+228.74",neutral
,neutral
,neutral
,neutral
,neutral
"S&P BSE SmallCap46,032.71",neutral
S&P BSE SmallCap,neutral
"46,032.71",neutral
"46,032.71",neutral
"46,032.71",neutral
"46,032.71",neutral
+0.50%+228.74,neutral
+0.50%,neutral
+0.50%,neutral
+0.50%,neutral
+228.74,neutral
+228.74,neutral
+228.74,neutral
"S&P BSE SmallCap46,032.710.50%",neutral
"S&P BSE SmallCap46,032.710.50%",neutral
S&P BSE SmallCap,neutral
"46,032.71",neutral
"46,032.71",neutral
"46,032.71",neutral
"46,032.71",neutral
0.50%,neutral
0.50%,neutral
0.50%,neutral
,neutral
"HomeNIFTY_50 • IndexFollowShareNIFTY 5022,513.70Apr 5, 3:32:20 PM GMT+5:30 · INDEXNSE ·Disclaimer1D5D1M6MYTD1Y5YMAXinsightsKey eventsKey events shows relevant news articles on days with large price movementsKey eventsKey events shows relevant news articles on days with large price movementsKey eventsarrow_forward_iosKey events shows relevant news articles on days with large price movementsNo dataclosesearchCompare toBSE SENSEX74,248.22SENSEX0.028%Nifty Bank48,493.05NIFTY_BANK0.90%Dow Jones Industrial Average38,904.04.DJI0.80%NIFTY Next 5062,696.10NIFTY_NEXT_500.86%NIFTY 50020,715.10NIFTY_5000.24%Nikkei 22538,992.08NI2251.96%Nifty VIX11.34INDIA_VIX1.05%Hang Seng Index16,723.92HSI0.0071%DAX PERFORMANCE-INDEX18,175.04DAX1.24%FTSE 100 Index7,911.16UKX0.81%stacked_line_chartIndexA measure of the price performance of a collection of securities that are grouped to represent a certain market or sectorPrevious closeThe last closing price22,514.65Day rangeThe range between the high and low prices over the past day22,427.60 - 22,537.60Year rangeThe range between the high and low prices over the past 52 weeks17,553.95 - 22,619.00News about MarketsmintStock market today: Sensex, Nifty 50 end flat after RBI policy decision; 
geopolitical tensions, crude oil prices weigh | Mint22 hours agoMoneycontrolClosing Bell: Sensex, Nifty end flat amid volatility; IT drags, realty, 
banks shine21 hours agoThe Economic TimesTech View: Nifty 50 in consolidation mode; what’s the trade set-up for next 
week?21 hours agoBy the numbersUpstoxSENSEX, NIFTY50 end flat, Banking and Realty stock shine after RBI keeps 
policy rate unchanged19 hours agomintTop Gainers and Losers today on 4 April, 2024: HDFC Bank, Eicher Motors, 
Oil & Natural Gas Corporation, Shriram Finance among most active stocks; 
Check full list here | Mint1 day agoMoneycontrol Hindiबीते 20 सालों में जानिए कब-कब गोल्ड ने निफ्टी 50 से दिया है ज्यादा रिटर्न22 hours agoThe Economic Times1 day agoTech View: Nifty chart shows bearish reversal; what traders should do on 
Fridayafaqs!1 day agoBeyond NIFTY 50, Invest in NIFTY 500 IndexMoneycontrol1 day agoClosing Bell: Nifty above 22,500, Sensex gains 351 pts; IT gains, oil & gas 
dragInvesting.com India2 days agoIndia's Nifty 50, Sensex hit record highs as small caps gain; RBI awaitedAboutThe NIFTY 50 is a benchmark Indian stock market index that represents the weighted average of 50 of the largest Indian companies listed on the National Stock Exchange.
Nifty 50 is owned and managed by NSE Indices, which is a wholly owned subsidiary of the NSE Strategic Investment Corporation Limited. NSE Indices had a marketing and licensing agreement with Standard & Poor's for co-branding equity indices until 2013. The Nifty 50 index was launched on 22 April 1996, and is one of the many stock indices of Nifty.
The NIFTY 50 index has shaped up to be the largest single financial product in India, with an ecosystem consisting of exchange-traded funds, and futures and options at NSE and SGX. NIFTY 50 is the world's most actively traded contract. WFE, IOM and FIA surveys endorse NSE's leadership position. Between 2008 and 2012, the NIFTY 50 index's share of NSE market fell from 65% to 29% due to the rise of sectoral indices like NIFTY Bank, NIFTY IT, NIFTY Pharma, and NIFTY Next 50.
The NIFTY 50 index covers 13 sectors of the Indian economy and offers investment managers exposure to the Indian market in one portfolio.Wikipedia",positive
"HomeNIFTY_50 • IndexFollowShareNIFTY 5022,513.70Apr 5, 3:32:20 PM GMT+5:30 · INDEXNSE ·Disclaimer1D5D1M6MYTD1Y5YMAXinsightsKey eventsKey events shows relevant news articles on days with large price movementsKey eventsKey events shows relevant news articles on days with large price movementsKey eventsarrow_forward_iosKey events shows relevant news articles on days with large price movementsNo dataclosesearchCompare toBSE SENSEX74,248.22SENSEX0.028%Nifty Bank48,493.05NIFTY_BANK0.90%Dow Jones Industrial Average38,904.04.DJI0.80%NIFTY Next 5062,696.10NIFTY_NEXT_500.86%NIFTY 50020,715.10NIFTY_5000.24%Nikkei 22538,992.08NI2251.96%Nifty VIX11.34INDIA_VIX1.05%Hang Seng Index16,723.92HSI0.0071%DAX PERFORMANCE-INDEX18,175.04DAX1.24%FTSE 100 Index7,911.16UKX0.81%stacked_line_chartIndexA measure of the price performance of a collection of securities that are grouped to represent a certain market or sectorPrevious closeThe last closing price22,514.65Day rangeThe range between the high and low prices over the past day22,427.60 - 22,537.60Year rangeThe range between the high and low prices over the past 52 weeks17,553.95 - 22,619.00News about MarketsmintStock market today: Sensex, Nifty 50 end flat after RBI policy decision; 
geopolitical tensions, crude oil prices weigh | Mint22 hours agoMoneycontrolClosing Bell: Sensex, Nifty end flat amid volatility; IT drags, realty, 
banks shine21 hours agoThe Economic TimesTech View: Nifty 50 in consolidation mode; what’s the trade set-up for next 
week?21 hours agoBy the numbersUpstoxSENSEX, NIFTY50 end flat, Banking and Realty stock shine after RBI keeps 
policy rate unchanged19 hours agomintTop Gainers and Losers today on 4 April, 2024: HDFC Bank, Eicher Motors, 
Oil & Natural Gas Corporation, Shriram Finance among most active stocks; 
Check full list here | Mint1 day agoMoneycontrol Hindiबीते 20 सालों में जानिए कब-कब गोल्ड ने निफ्टी 50 से दिया है ज्यादा रिटर्न22 hours agoThe Economic Times1 day agoTech View: Nifty chart shows bearish reversal; what traders should do on 
Fridayafaqs!1 day agoBeyond NIFTY 50, Invest in NIFTY 500 IndexMoneycontrol1 day agoClosing Bell: Nifty above 22,500, Sensex gains 351 pts; IT gains, oil & gas 
dragInvesting.com India2 days agoIndia's Nifty 50, Sensex hit record highs as small caps gain; RBI awaitedAboutThe NIFTY 50 is a benchmark Indian stock market index that represents the weighted average of 50 of the largest Indian companies listed on the National Stock Exchange.
Nifty 50 is owned and managed by NSE Indices, which is a wholly owned subsidiary of the NSE Strategic Investment Corporation Limited. NSE Indices had a marketing and licensing agreement with Standard & Poor's for co-branding equity indices until 2013. The Nifty 50 index was launched on 22 April 1996, and is one of the many stock indices of Nifty.
The NIFTY 50 index has shaped up to be the largest single financial product in India, with an ecosystem consisting of exchange-traded funds, and futures and options at NSE and SGX. NIFTY 50 is the world's most actively traded contract. WFE, IOM and FIA surveys endorse NSE's leadership position. Between 2008 and 2012, the NIFTY 50 index's share of NSE market fell from 65% to 29% due to the rise of sectoral indices like NIFTY Bank, NIFTY IT, NIFTY Pharma, and NIFTY Next 50.
The NIFTY 50 index covers 13 sectors of the Indian economy and offers investment managers exposure to the Indian market in one portfolio.Wikipedia",positive
HomeNIFTY_50 • IndexFollowShareNIFTY 50,neutral
HomeNIFTY_50 • IndexFollowShare,neutral
HomeNIFTY_50 • Index,neutral
,neutral
FollowShare,neutral
Follow,neutral
Follow,neutral
,neutral
,neutral
Follow,neutral
Follow,neutral
Follow,neutral
,neutral
Follow,neutral
Share,positive
Share,positive
,neutral
,neutral
,neutral
,neutral
Share,positive
NIFTY 50,positive
"22,513.70Apr 5, 3:32:20 PM GMT+5:30 · INDEXNSE ·Disclaimer1D5D1M6MYTD1Y5YMAXinsightsKey eventsKey events shows relevant news articles on days with large price movementsKey eventsKey events shows relevant news articles on days with large price movementsKey eventsarrow_forward_iosKey events shows relevant news articles on days with large price movementsNo dataclosesearchCompare toBSE SENSEX74,248.22SENSEX0.028%Nifty Bank48,493.05NIFTY_BANK0.90%Dow Jones Industrial Average38,904.04.DJI0.80%NIFTY Next 5062,696.10NIFTY_NEXT_500.86%NIFTY 50020,715.10NIFTY_5000.24%Nikkei 22538,992.08NI2251.96%Nifty VIX11.34INDIA_VIX1.05%Hang Seng Index16,723.92HSI0.0071%DAX PERFORMANCE-INDEX18,175.04DAX1.24%FTSE 100 Index7,911.16UKX0.81%stacked_line_chartIndexA measure of the price performance of a collection of securities that are grouped to represent a certain market or sectorPrevious closeThe last closing price22,514.65Day rangeThe range between the high and low prices over the past day22,427.60 - 22,537.60Year rangeThe range between the high and low prices over the past 52 weeks17,553.95 - 22,619.00News about MarketsmintStock market today: Sensex, Nifty 50 end flat after RBI policy decision; 
geopolitical tensions, crude oil prices weigh | Mint22 hours agoMoneycontrolClosing Bell: Sensex, Nifty end flat amid volatility; IT drags, realty, 
banks shine21 hours agoThe Economic TimesTech View: Nifty 50 in consolidation mode; what’s the trade set-up for next 
week?21 hours agoBy the numbersUpstoxSENSEX, NIFTY50 end flat, Banking and Realty stock shine after RBI keeps 
policy rate unchanged19 hours agomintTop Gainers and Losers today on 4 April, 2024: HDFC Bank, Eicher Motors, 
Oil & Natural Gas Corporation, Shriram Finance among most active stocks; 
Check full list here | Mint1 day agoMoneycontrol Hindiबीते 20 सालों में जानिए कब-कब गोल्ड ने निफ्टी 50 से दिया है ज्यादा रिटर्न22 hours agoThe Economic Times1 day agoTech View: Nifty chart shows bearish reversal; what traders should do on 
Fridayafaqs!1 day agoBeyond NIFTY 50, Invest in NIFTY 500 IndexMoneycontrol1 day agoClosing Bell: Nifty above 22,500, Sensex gains 351 pts; IT gains, oil & gas 
dragInvesting.com India2 days agoIndia's Nifty 50, Sensex hit record highs as small caps gain; RBI awaitedAboutThe NIFTY 50 is a benchmark Indian stock market index that represents the weighted average of 50 of the largest Indian companies listed on the National Stock Exchange.
Nifty 50 is owned and managed by NSE Indices, which is a wholly owned subsidiary of the NSE Strategic Investment Corporation Limited. NSE Indices had a marketing and licensing agreement with Standard & Poor's for co-branding equity indices until 2013. The Nifty 50 index was launched on 22 April 1996, and is one of the many stock indices of Nifty.
The NIFTY 50 index has shaped up to be the largest single financial product in India, with an ecosystem consisting of exchange-traded funds, and futures and options at NSE and SGX. NIFTY 50 is the world's most actively traded contract. WFE, IOM and FIA surveys endorse NSE's leadership position. Between 2008 and 2012, the NIFTY 50 index's share of NSE market fell from 65% to 29% due to the rise of sectoral indices like NIFTY Bank, NIFTY IT, NIFTY Pharma, and NIFTY Next 50.
The NIFTY 50 index covers 13 sectors of the Indian economy and offers investment managers exposure to the Indian market in one portfolio.Wikipedia",positive
"22,513.70Apr 5, 3:32:20 PM GMT+5:30 · INDEXNSE ·Disclaimer1D5D1M6MYTD1Y5YMAXinsightsKey eventsKey events shows relevant news articles on days with large price movementsKey eventsKey events shows relevant news articles on days with large price movementsKey eventsarrow_forward_iosKey events shows relevant news articles on days with large price movementsNo dataclosesearchCompare toBSE SENSEX74,248.22SENSEX0.028%Nifty Bank48,493.05NIFTY_BANK0.90%Dow Jones Industrial Average38,904.04.DJI0.80%NIFTY Next 5062,696.10NIFTY_NEXT_500.86%NIFTY 50020,715.10NIFTY_5000.24%Nikkei 22538,992.08NI2251.96%Nifty VIX11.34INDIA_VIX1.05%Hang Seng Index16,723.92HSI0.0071%DAX PERFORMANCE-INDEX18,175.04DAX1.24%FTSE 100 Index7,911.16UKX0.81%",neutral
"22,513.70Apr 5, 3:32:20 PM GMT+5:30 · INDEXNSE ·Disclaimer1D5D1M6MYTD1Y5YMAXinsightsKey eventsKey events shows relevant news articles on days with large price movementsKey eventsKey events shows relevant news articles on days with large price movementsKey eventsarrow_forward_iosKey events shows relevant news articles on days with large price movementsNo dataclosesearchCompare toBSE SENSEX74,248.22SENSEX0.028%Nifty Bank48,493.05NIFTY_BANK0.90%Dow Jones Industrial Average38,904.04.DJI0.80%NIFTY Next 5062,696.10NIFTY_NEXT_500.86%NIFTY 50020,715.10NIFTY_5000.24%Nikkei 22538,992.08NI2251.96%Nifty VIX11.34INDIA_VIX1.05%Hang Seng Index16,723.92HSI0.0071%DAX PERFORMANCE-INDEX18,175.04DAX1.24%FTSE 100 Index7,911.16UKX0.81%",neutral
